,yyyy,mm,tmax,tmin,af,rain,sun
0,1853,1,---, ---, ---,57.3, ---
1,1853,2,---, ---, ---,32.3, ---
2,1853,3,---, ---, ---,65.5, ---
3,1853,4,---, ---, ---,46.2, ---
4,1853,5,---, ---, ---,13.2, ---
5,1853,6,---, ---, ---,53.3, ---
6,1853,7,---, ---, ---,78, ---
7,1853,8,---, ---, ---,56.6, ---
8,1853,9,---, ---, ---,24.5, ---
9,1853,10,---, ---, ---,94.8, ---
10,1853,11,---, ---, ---,75.5, ---
11,1853,12,---, ---, ---,39.1, ---
12,1854,1,---, ---, ---,78.9, ---
13,1854,2,---, ---, ---,38.8, ---
14,1854,3,---, ---, ---,41.2, ---
15,1854,4,---, ---, ---,4.5, ---
16,1854,5,---, ---, ---,73.5, ---
17,1854,6,---, ---, ---,115.4, ---
18,1854,7,---, ---, ---,133.1, ---
19,1854,8,---, ---, ---,65.6, ---
20,1854,9,---, ---, ---,42.4, ---
21,1854,10,---, ---, ---,73.6, ---
22,1854,11,---, ---, ---,63, ---
23,1854,12,---, ---, ---,107.2, ---
24,1855,1,---, ---, ---,7.3, ---
25,1855,2,---, ---, ---,38.7, ---
26,1855,3,---, ---, ---,54.2, ---
27,1855,4,---, ---, ---,34.2, ---
28,1855,5,---, ---, ---,62.2, ---
29,1855,6,---, ---, ---,60.2, ---
30,1855,7,---, ---, ---,71.5, ---
31,1855,8,---, ---, ---,83.3, ---
32,1855,9,---, ---, ---,37.4, ---
33,1855,10,---, ---, ---,81.9, ---
34,1855,11,---, ---, ---,17.4, ---
35,1855,12,---, ---, ---,54.3, ---
36,1856,1,---, ---, ---,58.7, ---
37,1856,2,---, ---, ---,38.8, ---
38,1856,3,---, ---, ---,21.1, ---
39,1856,4,---, ---, ---,26.3, ---
40,1856,5,---, ---, ---,107.4, ---
41,1856,6,---, ---, ---,58.1, ---
42,1856,7,---, ---, ---,39.4, ---
43,1856,8,---, ---, ---,66.9, ---
44,1856,9,---, ---, ---,80.1, ---
45,1856,10,---, ---, ---,36.5, ---
46,1856,11,---, ---, ---,36.1, ---
47,1856,12,---, ---, ---,90.5, ---
48,1857,1,---, ---, ---,82.7, ---
49,1857,2,---, ---, ---,41.6, ---
50,1857,3,---, ---, ---,99.3, ---
51,1857,4,---, ---, ---,112.2, ---
52,1857,5,---, ---, ---,31.6, ---
53,1857,6,---, ---, ---,47.5, ---
54,1857,7,---, ---, ---,70.5, ---
55,1857,8,---, ---, ---,76, ---
56,1857,9,---, ---, ---,45.7, ---
57,1857,10,---, ---, ---,40.2, ---
58,1857,11,---, ---, ---,84.6, ---
59,1857,12,---, ---, ---,42.7, ---
60,1858,1,---, ---, ---,37, ---
61,1858,2,---, ---, ---,32.8, ---
62,1858,3,---, ---, ---,27.4, ---
63,1858,4,---, ---, ---,133.8, ---
64,1858,5,---, ---, ---,83.9, ---
65,1858,6,---, ---, ---,26.3, ---
66,1858,7,---, ---, ---,78.5, ---
67,1858,8,---, ---, ---,84.6, ---
68,1858,9,---, ---, ---,47.1, ---
69,1858,10,---, ---, ---,61.8, ---
70,1858,11,---, ---, ---,30.1, ---
71,1858,12,---, ---, ---,93.2, ---
72,1859,1,---, ---, ---,72.1, ---
73,1859,2,---, ---, ---,36.4, ---
74,1859,3,---, ---, ---,64.9, ---
75,1859,4,---, ---, ---,62.1, ---
76,1859,5,---, ---, ---,10.3, ---
77,1859,6,---, ---, ---,33.7, ---
78,1859,7,---, ---, ---,47, ---
79,1859,8,---, ---, ---,81.8, ---
80,1859,9,---, ---, ---,102.2, ---
81,1859,10,---, ---, ---,38.7, ---
82,1859,11,---, ---, ---,84.9, ---
83,1859,12,---, ---, ---,63.2, ---
84,1860,1,---, ---, ---,89.3, ---
85,1860,2,---, ---, ---,28.4, ---
86,1860,3,---, ---, ---,52.5, ---
87,1860,4,---, ---, ---,37.4, ---
88,1860,5,---, ---, ---,78.3, ---
89,1860,6,---, ---, ---,94.6, ---
